2.35171369849595138658e-01 -1.30666059856206439964e+00 -3.04147001506672562653e-01 1.30645419716069451348e+00
7.74220014404905412634e-01 3.88652286783111796894e-01 7.65856087015201086692e-01 8.11602008679381909870e-01
8.17428522129310205406e-01 -1.70252210813273087723e+00 -4.87549474445544317523e-01 8.99659113027982891206e-01
1.37801847050730022127e-01 4.82041223357397257039e-01 6.04662139772819854939e-01 8.38106946444220291361e-01
5.61654809194575507054e-01 -1.61861640706946031986e+00 -3.65156649889873605256e-01 6.51163217858180398928e-01
-2.62340811160311171299e-01 1.07552778783226467125e-01 2.57528081455678325257e-01 1.36468586315099410045e+00
5.36267433717877995563e-01 -7.39355560819164533384e-01 4.82474889898321455137e-01 7.83891035398635524728e-01
6.17993400890183547262e-02 5.13474480066953110967e-02 1.36746229730317070598e-01 1.29218112808830336443e+00
8.04218464365222254634e-01 -1.13842498620935618926e+00 -5.46924024843615616597e-01 1.27847642531914776397e+00
7.81837633078852473761e-01 1.22903516667420552614e-02 -4.04896029889298634098e-01 8.61693250924548643046e-01
